Timestamp         Wrongs      Speed(wpm)      Accuracy
11 Jan - 01:38PM,   5,          25,             85
11 Jan - 05:30PM,   0,          33,             96
11 Jan - 05:43PM,   1,          34,             95
11 Jan - 05:45PM,   0,          30,             92
11 Jan - 05:47PM,   0,          30,             91
11 Jan - 05:48PM,   0,          23,             81
11 Jan - 05:50PM,   21,          16,             59
11 Jan - 07:15PM,   3,          28,             91
11 Jan - 07:16PM,   2,          29,             97
11 Jan - 07:30PM,   7,          9,             67
11 Jan - 07:32PM,   2,          12,             56
11 Jan - 07:33PM,   0,          5,             -62
11 Jan - 07:33PM,   1,          13,             44
11 Jan - 07:34PM,   5,          19,             67
11 Jan - 07:35PM,   2,          21,             84
11 Jan - 07:35PM,   4,          24,             83
11 Jan - 07:36PM,   4,          20,             76
11 Jan - 07:38PM,   7,          18,             74
11 Jan - 07:38PM,   3,          28,             95
11 Jan - 07:39PM,   0,          20,             78
11 Jan - 07:40PM,   4,          20,             73
11 Jan - 07:40PM,   2,          36,             89
11 Jan - 07:41PM,   1,          3,             -178
11 Jan - 07:42PM,   2,          19,             84
11 Jan - 07:43PM,   3,          19,             82
11 Jan - 07:43PM,   11,          21,             80
11 Jan - 08:28PM,   11,          9,             57
